,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
R12,0104,,PB5-RH,PC,76381,76381,1,"{""sharedFormula"":""I14""}",0.4,30552.4,JPY(¥),,9087.505856000002,0.08356972872672991,PTUC PRODUCT,0.5770021340385698,44072,44072,44072,"{""sharedFormula"":""U14""}",1,0.225,9916.2,9916.2,"{""sharedFormula"":""Z14""}",,MC
R12,0105,,PB6-LH,PC,96381,96381,1,"{""sharedFormula"":""I14""}",0.4,38552.4,JPY(¥),,11467.025856000002,0.08452381246631922,PTUC PRODUCT,0.5776034695635032,55670,55670,55670,"{""sharedFormula"":""U14""}",1,0.225,12525.75,12525.75,"{""sharedFormula"":""Z14""}",,MC
R12,0106,,PB6-RH,PC,96381,96381,1,"{""sharedFormula"":""I14""}",0.4,38552.4,JPY(¥),,11467.025856000002,0.08452381246631922,PTUC PRODUCT,0.5776034695635032,55670,55670,55670,"{""sharedFormula"":""U14""}",1,0.225,12525.75,12525.75,"{""sharedFormula"":""Z14""}",,MC
R12,0107,,PB8-LH,PC,111810,111810,1,"{""sharedFormula"":""I14""}",0.4,44724,JPY(¥),,13302.706560000002,0.0838592970222876,PTUC PRODUCT,0.5771845094356498,64535.00000000001,64535.00000000001,64535,-1.1274436529299488e-16,1,0.225,14520.375000000002,14520.375000000002,"{""sharedFormula"":""Z14""}",,MC
R12,0108,,PB8-RH,PC,111810,111810,1,"{""sharedFormula"":""I14""}",0.4,44724,JPY(¥),,13302.706560000002,0.0838592970222876,PTUC PRODUCT,0.5771845094356498,64535.00000000001,64535.00000000001,64535,-1.1274436529299488e-16,1,0.225,14520.375000000002,14520.375000000002,"{""sharedFormula"":""Z14""}",,MC
R12,0109,,PB10-LH,PC,114476,114476,1,"{""sharedFormula"":""I14""}",0.4,45790.4,JPY(¥),,13619.896576000003,0.08434746144834857,PTUC PRODUCT,0.5774922254446346,66109,66109,66109,"{""sharedFormula"":""U14""}",1,0.225,14874.525,14874.525,"{""sharedFormula"":""Z14""}",,MC
R12,0110,,PB10-RH,PC,114476,114476,1,"{""sharedFormula"":""I14""}",0.4,45790.4,JPY(¥),,13619.896576000003,0.08434746144834857,PTUC PRODUCT,0.5774922254446346,66109,66109,66109,"{""sharedFormula"":""U14""}",1,0.225,14874.525,14874.525,"{""sharedFormula"":""Z14""}",,MC
R12,0111,,PB12-LH,PC,147238,147238,1,"{""sharedFormula"":""I14""}",0.4,58895.200000000004,JPY(¥),,17517.788288000003,0.08489848571279301,PTUC PRODUCT,0.5778399597929882,85080,85080,85080,"{""sharedFormula"":""U14""}",1,0.225,19143,19143,"{""sharedFormula"":""Z14""}",,MC
R12,0112,,PB12-RH,PC,147238,147238,1,"{""sharedFormula"":""I14""}",0.4,58895.200000000004,JPY(¥),,17517.788288000003,0.08489848571279301,PTUC PRODUCT,0.5778399597929882,85080,85080,85080,"{""sharedFormula"":""U14""}",1,0.225,19143,19143,"{""sharedFormula"":""Z14""}",,MC
R12,0113,,PB14-LH,PC,228952,228952,1,"{""sharedFormula"":""I14""}",0.4,91580.8,JPY(¥),,27239.793152000006,0.08434053607159257,PTUC PRODUCT,0.5774878577169014,132217,132217,132217,"{""sharedFormula"":""U14""}",1,0.225,29748.825,29748.825,"{""sharedFormula"":""Z14""}",,MC
R12,0114,,PB14-RH,PC,228952,228952,1,"{""sharedFormula"":""I14""}",0.4,91580.8,JPY(¥),,27239.793152000006,0.08434053607159257,PTUC PRODUCT,0.5774878577169014,132217,132217,132217,"{""sharedFormula"":""U14""}",1,0.225,29748.825,29748.825,"{""sharedFormula"":""Z14""}",,MC
R13,0001,,B203,PC,16095,16095,1,"{""sharedFormula"":""I14""}",0.43,6920.849999999999,JPY(¥),,2058.537624,0.037346790123456805,PTUC PRODUCT,0.5904939422180802,9504,9504,9504,"{""sharedFormula"":""U14""}",1,0.225,2138.4,2138.4,"{""sharedFormula"":""Z14""}",,MC
R13,0002,,B204,PC,17219,17219,1,"{""sharedFormula"":""I14""}",0.43,7404.17,JPY(¥),,2202.2963248000005,0.036520950312257126,PTUC PRODUCT,0.5899878041698124,10159,10159,10159,"{""sharedFormula"":""U14""}",1,0.225,2285.775,2285.775,"{""sharedFormula"":""Z14""}",,MC
R13,0003,,B205,PC,19810,19810,1,"{""sharedFormula"":""I14""}",0.43,8518.3,JPY(¥),,2533.683152,0.032077186789677775,PTUC PRODUCT,0.5872791519434629,11634,11634,11634,"{""sharedFormula"":""U14""}",1,0.225,2617.65,2617.65,"{""sharedFormula"":""Z14""}",,MC
R13,0004,,B206,PC,21333,21333,1,"{""sharedFormula"":""I14""}",0.43,9173.19,JPY(¥),,2728.473633600001,0.038872197616971554,PTUC PRODUCT,0.5914311161111893,12617,12617,12617,"{""sharedFormula"":""U14""}",1,0.225,2838.8250000000003,2838.8250000000003,"{""sharedFormula"":""Z14""}",,MC
R13,0005,,B207,PC,23619,23619,1,"{""sharedFormula"":""I14""}",0.43,10156.17,JPY(¥),,3020.8512048000007,0.041684128860337774,PTUC PRODUCT,0.5931665184808841,14010.000000000002,14010.000000000002,14010,-1.2983507519956148e-16,1,0.225,3152.2500000000005,3152.2500000000005,"{""sharedFormula"":""Z14""}",,MC
R13,0006,,B208,PC,27810,27810,1,"{""sharedFormula"":""I14""}",0.43,11958.3,JPY(¥),,3556.876752,0.035253196631270536,PTUC PRODUCT,0.5892125134843581,16386,16386,16386,"{""sharedFormula"":""U14""}",1,0.225,3686.85,3686.85,"{""sharedFormula"":""Z14""}",,MC
R13,0007,,B210,PC,32000,32000,1,"{""sharedFormula"":""I14""}",0.43,13760,JPY(¥),,4092.7744000000007,0.03470025236444252,PTUC PRODUCT,0.588875,18844,18844,18844,"{""sharedFormula"":""U14""}",1,0.225,4239.900000000001,4239.900000000001,"{""sharedFormula"":""Z14""}",,MC
R14,0301,,LD04,PC,16800,16800,1,"{""sharedFormula"":""I14""}",0.48,8064,JPY(¥),,2398.55616,0.03987664595154466,PTUC PRODUCT,0.6608928571428572,11103,11103,11103,"{""sharedFormula"":""U14""}",1,0.225,2498.175,2498.175,"{""sharedFormula"":""Z14""}",,MC
R14,0302,,LD05,PC,19238,19238,1,"{""sharedFormula"":""I14""}",0.48,9234.24,JPY(¥),,2746.6323456000005,0.042943561792761,PTUC PRODUCT,0.6630107079738019,12755.000000000002,12755.000000000002,12755,-1.4260991011727606e-16,1,0.225,2869.8750000000005,2869.8750000000005,"{""sharedFormula"":""Z14""}",,MC
R14,0303,,LD06,PC,21333,21333,1,"{""sharedFormula"":""I14""}",0.48,10239.84,JPY(¥),,3045.7380096000006,0.04206260165593354,PTUC PRODUCT,0.6624009750152346,14131,14131,14131,"{""sharedFormula"":""U14""}",1,0.225,3179.475,3179.475,"{""sharedFormula"":""Z14""}",,MC
R14,0304,,LD07,PC,23429,23429,1,"{""sharedFormula"":""I14""}",0.48,11245.92,JPY(¥),,3344.9864448000003,0.04129706446551019,PTUC PRODUCT,0.6618720389261172,15507,15507,15507,"{""sharedFormula"":""U14""}",1,0.225,3489.0750000000003,3489.0750000000003,"{""sharedFormula"":""Z14""}",,MC
R14,0305,,LD08,PC,27238,27238,1,"{""sharedFormula"":""I14""}",0.48,13074.24,JPY(¥),,3888.8019456,0.0390011563710499,PTUC PRODUCT,0.6602907702474484,17985,17985,17985,"{""sharedFormula"":""U14""}",1,0.225,4046.625,4046.625,"{""sharedFormula"":""Z14""}",,MC
R11,0210,,MG1100,PC,3253524,3253524,1,"{""sharedFormula"":""I14""}",0.4,1301409.6,JPY(¥),,387091.27142400004,0.08434414008076441,PTUC PRODUCT,0.5774901307013565,1878878,1878878,1878878,"{""sharedFormula"":""U14""}",1,0.225,422747.55,422747.55,"{""sharedFormula"":""Z14""}",,MC
R11,0223,,MG1200,PC,5031048,5031048,1,,0.4,2012419.2000000002,JPY(¥),,598573.9668480001,0.08431937831362568,PTUC PRODUCT,0.5774745142562743,2905302,2905302,2905302,,1,0.225,653692.9500000001,653692.9500000001,,,MC
R11,0224,,MG1300,PC,6536952,6536952,1,"{""sharedFormula"":""I47""}",0.4,2614780.8000000003,JPY(¥),,777740.4011520002,0.08437512198313536,PTUC PRODUCT,0.5775096711739661,3775153,3775153,3775153,"{""sharedFormula"":""U47""}",1,0.225,849409.425,849409.425,"{""sharedFormula"":""Z47""}",,MC
R11,0201,,MG300,PC,120571,120571,1,"{""sharedFormula"":""I47""}",0.4,48228.4,JPY(¥),,14345.055296000004,0.08381040818020967,PTUC PRODUCT,0.5771537102620033,69588,69588,69588,"{""sharedFormula"":""U47""}",1,0.225,15657.300000000001,15657.300000000001,"{""sharedFormula"":""Z47""}",,MC
R11,0202,,MG400,PC,139048,139048,1,"{""sharedFormula"":""I47""}",0.4,55619.200000000004,JPY(¥),,16543.374848000003,0.08407212163742672,PTUC PRODUCT,0.5773186237845924,80275,80275,80275,"{""sharedFormula"":""U47""}",1,0.225,18061.875,18061.875,"{""sharedFormula"":""Z47""}",,MC
R11,0203,,MG500,PC,183810,183810,1,"{""sharedFormula"":""I47""}",0.4,73524,JPY(¥),,21868.978560000003,0.08411582643875277,PTUC PRODUCT,0.5773461726783091,106122,106122,106122,"{""sharedFormula"":""U47""}",1,0.225,23877.45,23877.45,"{""sharedFormula"":""Z47""}",,MC
R11,0204,,MG600,PC,228952,228952,1,"{""sharedFormula"":""I47""}",0.4,91580.8,JPY(¥),,27239.793152000006,0.08434053607159257,PTUC PRODUCT,0.5774878577169014,132217,132217,132217,"{""sharedFormula"":""U47""}",1,0.225,29748.825,29748.825,"{""sharedFormula"":""Z47""}",,MC
R11,0205,,MG700,PC,435429,435429,1,"{""sharedFormula"":""I47""}",0.4,174171.6,JPY(¥),,51805.600704000004,0.08424235073261528,PTUC PRODUCT,0.5774259408537328,251428,251428,251428,"{""sharedFormula"":""U47""}",1,0.225,56571.3,56571.3,"{""sharedFormula"":""Z47""}",,MC
R11,0206,,MG750,PC,800000,800000,1,"{""sharedFormula"":""I47""}",0.4,320000,JPY(¥),,95180.80000000002,0.08422499896569653,PTUC PRODUCT,0.577415,461932,461932,461932,"{""sharedFormula"":""U47""}",1,0.225,103934.7,103934.7,"{""sharedFormula"":""Z47""}",,MC
R11,0207,,MG800,PC,917333,917333,1,"{""sharedFormula"":""I47""}",0.4,366933.2,JPY(¥),,109140.61100800002,0.0843964161459587,PTUC PRODUCT,0.5775231022976389,529781,529781,529781,"{""sharedFormula"":""U47""}",1,0.225,119200.725,119200.725,"{""sharedFormula"":""Z47""}",,MC
R15,0220,,MI1100,PC,3253524,3253524,1,"{""sharedFormula"":""I47""}",0.4,1301409.6,JPY(¥),,387091.27142400004,0.08434414008076441,PTUC PRODUCT,0.5774901307013565,1878878,1878878,1878878,"{""sharedFormula"":""U47""}",1,0.225,422747.55,422747.55,"{""sharedFormula"":""Z47""}",,MC
R15,0221,,MI1200,PC,5031048,5031048,1,"{""sharedFormula"":""I47""}",0.4,2012419.2000000002,JPY(¥),,598573.9668480001,0.08431937831362568,PTUC PRODUCT,0.5774745142562743,2905302,2905302,2905302,"{""sharedFormula"":""U47""}",1,0.225,653692.9500000001,653692.9500000001,"{""sharedFormula"":""Z47""}",,MC
R15,0222,,MI1300,PC,6536952,6536952,1,"{""sharedFormula"":""I47""}",0.4,2614780.8000000003,JPY(¥),,777740.4011520002,0.08437512198313536,PTUC PRODUCT,0.5775096711739661,3775153,3775153,3775153,"{""sharedFormula"":""U47""}",1,0.225,849409.425,849409.425,"{""sharedFormula"":""Z47""}",,MC
R15,0211,,MI300,PC,120571,120571,1,"{""sharedFormula"":""I47""}",0.4,48228.4,JPY(¥),,14345.055296000004,0.08381040818020967,PTUC PRODUCT,0.5771537102620033,69588,69588,69588,"{""sharedFormula"":""U47""}",1,0.225,15657.300000000001,15657.300000000001,"{""sharedFormula"":""Z47""}",,MC
R15,0212,,MI400,PC,139048,139048,1,"{""sharedFormula"":""I47""}",0.4,55619.200000000004,JPY(¥),,16543.374848000003,0.08407212163742672,PTUC PRODUCT,0.5773186237845924,80275,80275,80275,"{""sharedFormula"":""U47""}",1,0.225,18061.875,18061.875,"{""sharedFormula"":""Z47""}",,MC
R15,0213,,MI500,PC,183810,183810,1,"{""sharedFormula"":""I47""}",0.4,73524,JPY(¥),,21868.978560000003,0.08411582643875277,PTUC PRODUCT,0.5773461726783091,106122,106122,106122,"{""sharedFormula"":""U47""}",1,0.225,23877.45,23877.45,"{""sharedFormula"":""Z47""}",,MC
R15,0214,,MI600,PC,228952,228952,1,"{""sharedFormula"":""I47""}",0.4,91580.8,JPY(¥),,27239.793152000006,0.08434053607159257,PTUC PRODUCT,0.5774878577169014,132217,132217,132217,"{""sharedFormula"":""U47""}",1,0.225,29748.825,29748.825,"{""sharedFormula"":""Z47""}",,MC
