,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,EUR,1.1440000000000001,40

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
,51393,,UNIFLEX TUBES 0665.060.125.140,SET,45.34200000000001,45.34200000000001,1,"{""sharedFormula"":""I5""}",1,45.34200000000001,EUR(€) ,,2074.849920000001,0.22625441531948626,KABELSCHLEPP ,1.4284769088262532,64.77,64.77,64.77,"{""sharedFormula"":""U5""}",1.144,36.19,2681.5660871999994,2681.5660871999994,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.37 kgs
,51392,,UNIFLEX TUBES 0665.060.125.120,SET,45.34200000000001,45.34200000000001,1,"{""sharedFormula"":""I5""}",1,45.34200000000001,EUR(€) ,,2074.849920000001,0.22625441531948626,KABELSCHLEPP ,1.4284769088262532,64.77,64.77,64.77,"{""sharedFormula"":""U5""}",1.144,36.19,2681.5660871999994,2681.5660871999994,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.37 kgs
,51296,,UNIFLEX TUBES 0665.060.100.300,SET,43.494,43.494,1,"{""sharedFormula"":""I5""}",1,43.494,EUR(€) ,,1990.28544,0.2262522400085709,KABELSCHLEPP ,1.4284728928128019,62.13,62.13,62.13,"{""sharedFormula"":""U5""}",1.144,36.19,2572.2664967999995,2572.2664968,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.01 kgs
,51295,,UNIFLEX TUBES 0665.060.100.250,SET,43.494,43.494,1,"{""sharedFormula"":""I5""}",1,43.494,EUR(€) ,,1990.28544,0.2262522400085709,KABELSCHLEPP ,1.4284728928128019,62.13,62.13,62.13,"{""sharedFormula"":""U5""}",1.144,36.19,2572.2664967999995,2572.2664968,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.01 kgs
,51294,,UNIFLEX TUBES 0665.060.100.200,SET,43.494,43.494,1,"{""sharedFormula"":""I5""}",1,43.494,EUR(€) ,,1990.28544,0.2262522400085709,KABELSCHLEPP ,1.4284728928128019,62.13,62.13,62.13,"{""sharedFormula"":""U5""}",1.144,36.19,2572.2664967999995,2572.2664968,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.01 kgs
,51293,,UNIFLEX TUBES 0665.060.100.140,SET,43.494,43.494,1,"{""sharedFormula"":""I5""}",1,43.494,EUR(€) ,,1990.28544,0.2262522400085709,KABELSCHLEPP ,1.4284728928128019,62.13,62.13,62.13,"{""sharedFormula"":""U5""}",1.144,36.19,2572.2664967999995,2572.2664968,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.01 kgs
,51292,,UNIFLEX TUBES 0665.060.100.120,SET,43.494,43.494,1,"{""sharedFormula"":""I5""}",1,43.494,EUR(€) ,,1990.28544,0.2262522400085709,KABELSCHLEPP ,1.4284728928128019,62.13,62.13,62.13,"{""sharedFormula"":""U5""}",1.144,36.19,2572.2664967999995,2572.2664968,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.01 kgs
,51286,,UNIFLEX TUBES 0665.060.075.300,SET,41.657,41.657,1,"{""sharedFormula"":""I5""}",1,41.657,EUR(€) ,,1906.22432,0.22630560928433258,KABELSCHLEPP ,1.4285714285714286,59.51,59.51,59.51,"{""sharedFormula"":""U5""}",1.144,36.19,2463.7949335999997,2463.7949335999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.69 kgs
,51285,,UNIFLEX TUBES 0665.060.075.250,SET,41.657,41.657,1,"{""sharedFormula"":""I5""}",1,41.657,EUR(€) ,,1906.22432,0.22630560928433258,KABELSCHLEPP ,1.4285714285714286,59.51,59.51,59.51,"{""sharedFormula"":""U5""}",1.144,36.19,2463.7949335999997,2463.7949335999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.69 kgs
,51284,,UNIFLEX TUBES 0665.060.075.200,SET,41.657,41.657,1,"{""sharedFormula"":""I5""}",1,41.657,EUR(€) ,,1906.22432,0.22630560928433258,KABELSCHLEPP ,1.4285714285714286,59.51,59.51,59.51,"{""sharedFormula"":""U5""}",1.144,36.19,2463.7949335999997,2463.7949335999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.69 kgs
,51283,,UNIFLEX TUBES 0665.060.075.140,SET,41.657,41.657,1,"{""sharedFormula"":""I5""}",1,41.657,EUR(€) ,,1906.22432,0.22630560928433258,KABELSCHLEPP ,1.4285714285714286,59.51,59.51,59.51,"{""sharedFormula"":""U5""}",1.144,36.19,2463.7949335999997,2463.7949335999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.69 kgs
