,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
B12,5133,RF2040S-LMC2LSRPT-JL,RF2040-LMC-2LSRP-T-JL,PC,447,447,1,"{""sharedFormula"":""I65""}",0.343,153.321,JPY(¥),,45.60379824,0.49306582658959536,THB SMALL SIZE,0.3870246085011186,173,173,173,"{""sharedFormula"":""U65""}",0.52,1,89.96000000000001,89.96000000000001,"{""sharedFormula"":""Z65""}",Added!,TC
B12,5083,,RF2040-LMC-A2-JL,PC,282,282,1,"{""sharedFormula"":""I65""}",0.344,97.008,JPY(¥),,28.854059520000003,0.49093049541284395,THB SMALL SIZE,0.38652482269503546,109,109,109,"{""sharedFormula"":""U65""}",0.52,1,56.68,56.68,"{""sharedFormula"":""Z65""}",Added!,TC
B16,5016,RF2040-LMC-HP-JL,RF2040-LMCHP-JL,PC,387,387,1,"{""sharedFormula"":""I65""}",0.344,133.128,JPY(¥),,39.59759232,0.49570055629139076,THB SMALL SIZE,0.39018087855297157,151,151,151,"{""sharedFormula"":""U65""}",0.52,1,78.52,78.52,"{""sharedFormula"":""Z65""}",,TC
B12,5082,,RF2040-LMC-JL,PC,216,216,1,"{""sharedFormula"":""I65""}",0.344,74.30399999999999,JPY(¥),,22.10098176,0.4940251428571429,THB SMALL SIZE,0.3888888888888889,84,84,84,"{""sharedFormula"":""U65""}",0.52,1,43.68,43.68,"{""sharedFormula"":""Z65""}",Added!,TC
B12,5084,,RF2040-LMC-K2-JL,PC,371,371,1,"{""sharedFormula"":""I65""}",0.344,127.624,JPY(¥),,37.96048256,0.48950399999999994,THB SMALL SIZE,0.38544474393531,143,143,143,"{""sharedFormula"":""U65""}",0.52,1,74.36,74.36,"{""sharedFormula"":""Z65""}",Added!,TC
B12,5108,RF2040-LMC-NP-A2-JL,RF2040-LMCNP-A2-JL,PC,322,322,1,"{""sharedFormula"":""I65""}",0.344,110.76799999999999,JPY(¥),,32.94683392,0.4971484444444444,THB SMALL SIZE,0.391304347826087,126,126,126,"{""sharedFormula"":""U65""}",0.52,1,65.52,65.52,"{""sharedFormula"":""Z65""}",,TC
B12,5107,RF2040-LMC-NP-JL,RF2040-LMCNP-JL,PC,260,260,1,"{""sharedFormula"":""I65""}",0.344,89.44,JPY(¥),,26.603033600000003,0.49346851485148513,THB SMALL SIZE,0.38846153846153847,101,101,101,"{""sharedFormula"":""U65""}",0.52,1,52.52,52.52,"{""sharedFormula"":""Z65""}",,TC
B12,5109,RF2040-LMC-NP-K2-JL,RF2040-LMCNP-K2-JL,PC,431,431,1,"{""sharedFormula"":""I65""}",0.344,148.26399999999998,JPY(¥),,44.09964416,0.4921736047904192,THB SMALL SIZE,0.3874709976798144,167,167,167,"{""sharedFormula"":""U65""}",0.52,1,86.84,86.84,"{""sharedFormula"":""Z65""}",,TC
B12,5168,RF2040-LMC-1LTR-JL,RF2040-LMC-TR-JL,PC,911,911,1,"{""sharedFormula"":""I65""}",0.343,312.473,JPY(¥),,92.94196912000001,0.4936698130311614,THB SMALL SIZE,0.38748627881448955,353,353,353,"{""sharedFormula"":""U65""}",0.52,1,183.56,183.56,"{""sharedFormula"":""Z65""}",Added!,TC
B12,5165,RF2040-LMC-1LTRP-JL,RF2040-LMC-TRP-JL,PC,951,951,1,"{""sharedFormula"":""I65""}",0.343,326.19300000000004,JPY(¥),,97.02284592000002,0.49435665040650395,THB SMALL SIZE,0.38801261829652994,369,369,369,"{""sharedFormula"":""U65""}",0.52,1,191.88,191.88,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5275,,RF2040-NEP-A2-JL,PC,376,376,1,"{""sharedFormula"":""I65""}",0.33,124.08000000000001,JPY(¥),,36.90635520000001,0.49663999999999997,THB SMALL SIZE,0.375,141,141,141,"{""sharedFormula"":""U65""}",0.52,1,73.32000000000001,73.32000000000001,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5274,,RF2040-NEP-JL,PC,300,300,1,"{""sharedFormula"":""I65""}",0.33,99,JPY(¥),,29.446560000000005,0.4988672566371681,THB SMALL SIZE,0.37666666666666665,113,113,113,"{""sharedFormula"":""U65""}",0.52,1,58.760000000000005,58.760000000000005,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5276,,RF2040-NEP-K2-JL,PC,427,427,1,"{""sharedFormula"":""I65""}",0.33,140.91,JPY(¥),,41.912270400000004,0.499375652173913,THB SMALL SIZE,0.3770491803278688,161,161,161,"{""sharedFormula"":""U65""}",0.52,1,83.72,83.72,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5187,,RF2040-NP-A2-JL,PC,322,322,1,"{""sharedFormula"":""I65""}",0.33,106.26,JPY(¥),,31.605974400000004,0.5058478048780488,THB SMALL SIZE,0.38198757763975155,123,123,123,"{""sharedFormula"":""U65""}",0.52,1,63.96,63.96,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5186,,RF2040-NP-JL,PC,222,222,1,"{""sharedFormula"":""I65""}",0.33,73.26,JPY(¥),,21.7904544,0.5011342857142856,THB SMALL SIZE,0.3783783783783784,84,84,84,"{""sharedFormula"":""U65""}",0.52,1,43.68,43.68,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5189,,RF2040-NP-K2-JL,PC,411,411,1,"{""sharedFormula"":""I65""}",0.33,135.63,JPY(¥),,40.341787200000006,0.4962314285714285,THB SMALL SIZE,0.3746958637469586,154,154,154,"{""sharedFormula"":""U65""}",0.52,1,80.08,80.08,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5188,,RF2040-NP-SA2-JL,PC,322,322,1,"{""sharedFormula"":""I65""}",0.33,106.26,JPY(¥),,31.605974400000004,0.5058478048780488,THB SMALL SIZE,0.38198757763975155,123,123,123,"{""sharedFormula"":""U65""}",0.52,1,63.96,63.96,"{""sharedFormula"":""Z65""}",Added!,TC
B13,5190,,RF2040-NP-SK2-JL,PC,411,411,1,"{""sharedFormula"":""I65""}",0.33,135.63,JPY(¥),,40.341787200000006,0.4962314285714285,THB SMALL SIZE,0.3746958637469586,154,154,154,"{""sharedFormula"":""U65""}",0.52,1,80.08,80.08,"{""sharedFormula"":""Z65""}",Added!,TC
B11,0698,,RF2040R-10LA1,LINK,111,111,1,"{""sharedFormula"":""I65""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U65""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z65""}",Added!,TC
B11,0658,,RF2040R-10LA2,LINK,111,111,1,"{""sharedFormula"":""I65""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U65""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z65""}",Added!,TC
B11,0718,,RF2040R-10LK1,LINK,111,111,1,"{""sharedFormula"":""I65""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U65""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z65""}",Added!,TC
B11,0678,,RF2040R-10LK2,LINK,111,111,1,"{""sharedFormula"":""I65""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U65""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z65""}",Added!,TC
B11,0708,,RF2040R-10LSA1,LINK,111,111,1,"{""sharedFormula"":""I65""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U65""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z65""}",Added!,TC
B11,0668,,RF2040R-10LSA2,LINK,111,111,1,,0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,,0.52,1,21.32,21.32,,Added!,TC
B11,0728,,RF2040R-10LSK1,LINK,111,111,1,"{""sharedFormula"":""I128""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U128""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0688,,RF2040R-10LSK2,LINK,111,111,1,"{""sharedFormula"":""I128""}",0.328,36.408,JPY(¥),,10.82919552,0.49206399999999995,THB SMALL SIZE,0.36936936936936937,41,41,41,"{""sharedFormula"":""U128""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0689,,RF2040R-1LA1,LINK,150,150,1,"{""sharedFormula"":""I128""}",0.328,49.2,JPY(¥),,14.634048000000003,0.48831999999999987,THB SMALL SIZE,0.36666666666666664,54.99999999999999,54.99999999999999,55,1.2918958832001823e-16,0.52,1,28.599999999999998,28.599999999999998,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0729,,RF2040R-1LEP,LINK,163,163,1,"{""sharedFormula"":""I128""}",0.328,53.464000000000006,JPY(¥),,15.902332160000004,0.49866544262295076,THB SMALL SIZE,0.37423312883435583,61,61,61,"{""sharedFormula"":""U128""}",0.52,1,31.720000000000002,31.720000000000002,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0709,,RF2040R-1LK1,LINK,181,181,1,"{""sharedFormula"":""I128""}",0.328,59.368,JPY(¥),,17.65841792,0.4854773333333333,THB SMALL SIZE,0.36464088397790057,66,66,66,"{""sharedFormula"":""U128""}",0.52,1,34.32,34.32,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0699,,RF2040R-1LSA1,LINK,150,150,1,"{""sharedFormula"":""I128""}",0.328,49.2,JPY(¥),,14.634048000000003,0.48831999999999987,THB SMALL SIZE,0.36666666666666664,54.99999999999999,54.99999999999999,55,1.2918958832001823e-16,0.52,1,28.599999999999998,28.599999999999998,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0659,,RF2040R-1LSA2,LINK,150,150,1,"{""sharedFormula"":""I128""}",0.328,49.2,JPY(¥),,14.634048000000003,0.48831999999999987,THB SMALL SIZE,0.36666666666666664,54.99999999999999,54.99999999999999,55,1.2918958832001823e-16,0.52,1,28.599999999999998,28.599999999999998,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0719,,RF2040R-1LSK1,LINK,181,181,1,"{""sharedFormula"":""I128""}",0.328,59.368,JPY(¥),,17.65841792,0.4854773333333333,THB SMALL SIZE,0.36464088397790057,66,66,66,"{""sharedFormula"":""U128""}",0.52,1,34.32,34.32,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0679,,RF2040R-1LSK2,LINK,181,181,1,"{""sharedFormula"":""I128""}",0.328,59.368,JPY(¥),,17.65841792,0.4854773333333333,THB SMALL SIZE,0.36464088397790057,66,66,66,"{""sharedFormula"":""U128""}",0.52,1,34.32,34.32,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0255,RF2040R-1LSR-H,RF2040R-1LSRL-H,LINK,480,480,1,"{""sharedFormula"":""I128""}",0.32,153.6,JPY(¥),,45.686784,0.5172571428571429,THB SMALL SIZE,0.37916666666666665,182,182,182,"{""sharedFormula"":""U128""}",0.52,1,94.64,94.64,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0254,RF2040R-1LSR-T,RF2040R-1LSRL-T,LINK,344,344,1,"{""sharedFormula"":""I128""}",0.32,110.08,JPY(¥),,32.742195200000005,0.5118933333333332,THB SMALL SIZE,0.375,129,129,129,"{""sharedFormula"":""U128""}",0.52,1,67.08,67.08,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0207,RF2040R-1LSRPE-H,RF2040R-1LSRPEL-H,LINK,700,700,1,"{""sharedFormula"":""I128""}",0.334,233.8,JPY(¥),,69.54147200000001,0.4934333333333332,THB SMALL SIZE,0.37714285714285717,264,264,264,"{""sharedFormula"":""U128""}",0.52,1,137.28,137.28,"{""sharedFormula"":""Z128""}",,TC
B15,0206,RF2040R-1LSRPE-T,RF2040R-1LSRPEL-T,LINK,464,464,1,"{""sharedFormula"":""I128""}",0.334,154.976,JPY(¥),,46.09606144000001,0.4905386666666666,THB SMALL SIZE,0.375,174,174,174,"{""sharedFormula"":""U128""}",0.52,1,90.48,90.48,"{""sharedFormula"":""Z128""}",,TC
B15,0143,RF2040R-1LSRP-H,RF2040R-1LSRPL-H,LINK,296,296,1,"{""sharedFormula"":""I128""}",0.334,98.864,JPY(¥),,29.406108160000006,0.4950874285714285,THB SMALL SIZE,0.3783783783783784,112,112,112,"{""sharedFormula"":""U128""}",0.52,1,58.24,58.24,"{""sharedFormula"":""Z128""}",,TC
B15,0142,RF2040R-1LSRP-T,RF2040R-1LSRPL-T,LINK,236,236,1,"{""sharedFormula"":""I128""}",0.334,78.824,JPY(¥),,23.445410560000003,0.493400808988764,THB SMALL SIZE,0.3771186440677966,89,89,89,"{""sharedFormula"":""U128""}",0.52,1,46.28,46.28,"{""sharedFormula"":""Z128""}",,TC
B15,0388,,RF2040R-1LTR,LINK,527,527,1,"{""sharedFormula"":""I128""}",0.334,176.018,JPY(¥),,52.354793920000006,0.48892235532994915,THB SMALL SIZE,0.3738140417457306,197,197,197,"{""sharedFormula"":""U128""}",0.52,1,102.44,102.44,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0366,,RF2040R-1LTRP,LINK,540,540,1,"{""sharedFormula"":""I128""}",0.334,180.36,JPY(¥),,53.64627840000001,0.49428470588235285,THB SMALL SIZE,0.37777777777777777,204,204,204,"{""sharedFormula"":""U128""}",0.52,1,106.08,106.08,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0690,,RF2040R-2LA1,LINK,126,126,1,"{""sharedFormula"":""I128""}",0.328,41.328,JPY(¥),,12.292600320000002,0.48609530434782605,THB SMALL SIZE,0.36507936507936506,46,46,46,"{""sharedFormula"":""U128""}",0.52,1,23.92,23.92,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0730,,RF2040R-2LEP,LINK,159,159,1,"{""sharedFormula"":""I128""}",0.328,52.152,JPY(¥),,15.512090880000002,0.4943907796610168,THB SMALL SIZE,0.3710691823899371,58.99999999999999,58.99999999999999,59,1.2043097216272887e-16,0.52,1,30.679999999999996,30.679999999999996,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0710,,RF2040R-2LK1,LINK,150,150,1,"{""sharedFormula"":""I128""}",0.328,49.2,JPY(¥),,14.634048000000003,0.48831999999999987,THB SMALL SIZE,0.36666666666666664,54.99999999999999,54.99999999999999,55,1.2918958832001823e-16,0.52,1,28.599999999999998,28.599999999999998,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0700,,RF2040R-2LSA1,LINK,126,126,1,"{""sharedFormula"":""I128""}",0.328,41.328,JPY(¥),,12.292600320000002,0.48609530434782605,THB SMALL SIZE,0.36507936507936506,46,46,46,"{""sharedFormula"":""U128""}",0.52,1,23.92,23.92,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0660,,RF2040R-2LSA2,LINK,126,126,1,"{""sharedFormula"":""I128""}",0.328,41.328,JPY(¥),,12.292600320000002,0.48609530434782605,THB SMALL SIZE,0.36507936507936506,46,46,46,"{""sharedFormula"":""U128""}",0.52,1,23.92,23.92,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0720,,RF2040R-2LSK1,LINK,150,150,1,"{""sharedFormula"":""I128""}",0.328,49.2,JPY(¥),,14.634048000000003,0.48831999999999987,THB SMALL SIZE,0.36666666666666664,54.99999999999999,54.99999999999999,55,1.2918958832001823e-16,0.52,1,28.599999999999998,28.599999999999998,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0680,,RF2040R-2LSK2,LINK,150,150,1,"{""sharedFormula"":""I128""}",0.328,49.2,JPY(¥),,14.634048000000003,0.48831999999999987,THB SMALL SIZE,0.36666666666666664,54.99999999999999,54.99999999999999,55,1.2918958832001823e-16,0.52,1,28.599999999999998,28.599999999999998,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0257,RF2040R-2LSR-H,RF2040R-2LSRL-H,LINK,300,300,1,"{""sharedFormula"":""I128""}",0.32,96,JPY(¥),,28.554240000000004,0.5140530973451327,THB SMALL SIZE,0.37666666666666665,113,113,113,"{""sharedFormula"":""U128""}",0.52,1,58.760000000000005,58.760000000000005,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0256,RF2040R-2LSR-T,RF2040R-2LSRL-T,LINK,260,260,1,"{""sharedFormula"":""I128""}",0.32,83.2,JPY(¥),,24.747008000000005,0.5143836734693876,THB SMALL SIZE,0.3769230769230769,98,98,98,"{""sharedFormula"":""U128""}",0.52,1,50.96,50.96,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0209,RF2040R-2LSRPE-H,RF2040R-2LSRPEL-H,LINK,464,464,1,"{""sharedFormula"":""I128""}",0.334,154.976,JPY(¥),,46.09606144000001,0.4905386666666666,THB SMALL SIZE,0.375,174,174,174,"{""sharedFormula"":""U128""}",0.52,1,90.48,90.48,"{""sharedFormula"":""Z128""}",,TC
B15,0208,RF2040R-2LSRPE-T,RF2040R-2LSRPEL-T,LINK,347,347,1,"{""sharedFormula"":""I128""}",0.334,115.89800000000001,JPY(¥),,34.47270112000001,0.4900487999999999,THB SMALL SIZE,0.3746397694524496,130,130,130,"{""sharedFormula"":""U128""}",0.52,1,67.60000000000001,67.60000000000001,"{""sharedFormula"":""Z128""}",,TC
B15,0145,RF2040R-2LSRP-H,RF2040R-2LSRPL-H,LINK,205,205,1,"{""sharedFormula"":""I128""}",0.334,68.47,JPY(¥),,20.365716800000005,0.49136571428571413,THB SMALL SIZE,0.375609756097561,77,77,77,"{""sharedFormula"":""U128""}",0.52,1,40.04,40.04,"{""sharedFormula"":""Z128""}",,TC
B15,0144,RF2040R-2LSRP-T,RF2040R-2LSRPL-T,LINK,205,205,1,"{""sharedFormula"":""I128""}",0.334,68.47,JPY(¥),,20.365716800000005,0.49136571428571413,THB SMALL SIZE,0.375609756097561,77,77,77,"{""sharedFormula"":""U128""}",0.52,1,40.04,40.04,"{""sharedFormula"":""Z128""}",,TC
B15,0367,RF2040R-2LTRP,RF2040R-2LTRPRL,LINK,329,329,1,"{""sharedFormula"":""I128""}",0.334,109.88600000000001,JPY(¥),,32.68449184000001,0.5011524444444443,THB SMALL SIZE,0.3829787234042553,126,126,126,"{""sharedFormula"":""U128""}",0.52,1,65.52,65.52,"{""sharedFormula"":""Z128""}",Added!,TC
B15,0389,RF2040R-2LTR,RF2040R-2LTRRL,LINK,322,322,1,"{""sharedFormula"":""I128""}",0.334,107.548,JPY(¥),,31.989077120000005,0.49985808130081294,THB SMALL SIZE,0.38198757763975155,123,123,123,"{""sharedFormula"":""U128""}",0.52,1,63.96,63.96,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0691,,RF2040R-3LA1,LINK,123,123,1,"{""sharedFormula"":""I128""}",0.328,40.344,JPY(¥),,11.999919360000003,0.48718293333333323,THB SMALL SIZE,0.36585365853658536,45,45,45,"{""sharedFormula"":""U128""}",0.52,1,23.400000000000002,23.400000000000002,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0651,,RF2040R-3LA2,LINK,123,123,1,"{""sharedFormula"":""I128""}",0.328,40.344,JPY(¥),,11.999919360000003,0.48718293333333323,THB SMALL SIZE,0.36585365853658536,45,45,45,"{""sharedFormula"":""U128""}",0.52,1,23.400000000000002,23.400000000000002,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0731,,RF2040R-3LEP,LINK,141,141,1,"{""sharedFormula"":""I128""}",0.328,46.248000000000005,JPY(¥),,13.756005120000003,0.4912719999999999,THB SMALL SIZE,0.36879432624113473,52,52,52,"{""sharedFormula"":""U128""}",0.52,1,27.04,27.04,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0711,,RF2040R-3LK1,LINK,133,133,1,"{""sharedFormula"":""I128""}",0.328,43.624,JPY(¥),,12.975522560000002,0.4907565714285714,THB SMALL SIZE,0.3684210526315789,49,49,49,"{""sharedFormula"":""U128""}",0.52,1,25.48,25.48,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0671,,RF2040R-3LK2,LINK,133,133,1,"{""sharedFormula"":""I128""}",0.328,43.624,JPY(¥),,12.975522560000002,0.4907565714285714,THB SMALL SIZE,0.3684210526315789,49,49,49,"{""sharedFormula"":""U128""}",0.52,1,25.48,25.48,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0701,,RF2040R-3LSA1,LINK,123,123,1,"{""sharedFormula"":""I128""}",0.328,40.344,JPY(¥),,11.999919360000003,0.48718293333333323,THB SMALL SIZE,0.36585365853658536,45,45,45,"{""sharedFormula"":""U128""}",0.52,1,23.400000000000002,23.400000000000002,"{""sharedFormula"":""Z128""}",Added!,TC
B11,0661,,RF2040R-3LSA2,LINK,123,123,1,"{""sharedFormula"":""I128""}",0.328,40.344,JPY(¥),,11.999919360000003,0.48718293333333323,THB SMALL SIZE,0.36585365853658536,45,45,45,"{""sharedFormula"":""U128""}",0.52,1,23.400000000000002,23.400000000000002,"{""sharedFormula"":""Z128""}",Added!,TC
