,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No. ,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New) Make same Price as Standard Price (THB)
=JPY/USD*Mul.","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A15,0028,AL1644,AL1644-RP,LINK,1620,1620,1,"{""sharedFormula"":""I6""}",0.333,539.46,JPY(¥),,160.45698240000004,0.48571479999999984,THB DRIVE CHAIN,0.37037037037037035,600,600,600,"{""sharedFormula"":""U5""}",0.52,1,312,312,"{""sharedFormula"":""Z5""}",,TC
A15,5029,AL1666-JL,AL1666-MLJL,PC,3160,3160,1,"{""sharedFormula"":""I6""}",0.333,1052.28,JPY(¥),,312.99016320000004,0.4829002061855669,THB DRIVE CHAIN,0.36835443037974686,1164,1164,1164,"{""sharedFormula"":""U5""}",0.52,1,605.28,605.28,"{""sharedFormula"":""Z5""}",,TC
A15,0029,AL1666,AL1666-RP,LINK,2360,2360,1,"{""sharedFormula"":""I6""}",0.333,785.88,JPY(¥),,233.75214720000002,0.48508206185567015,THB DRIVE CHAIN,0.36991525423728816,873.0000000000001,873.0000000000001,873,1.3022547276244678e-16,0.52,1,453.9600000000001,453.9600000000001,"{""sharedFormula"":""Z5""}",,TC
A15,5008,AL422-JL,AL422-MLJL,PC,282,282,1,"{""sharedFormula"":""I6""}",0.333,93.906,JPY(¥),,27.931400640000007,0.48351699999999986,THB DRIVE CHAIN,0.36879432624113473,104,104,104,"{""sharedFormula"":""U5""}",0.52,1,54.08,54.08,"{""sharedFormula"":""Z5""}",,TC
A15,0008,AL422,AL422-RP,LINK,31,31,1,"{""sharedFormula"":""I6""}",0.333,10.323,JPY(¥),,3.0704731200000004,0.507937,THB DRIVE CHAIN,0.3870967741935484,12,12,12,"{""sharedFormula"":""U5""}",0.52,1,6.24,6.24,"{""sharedFormula"":""Z5""}",,TC
A15,5009,AL444-JL,AL444-MLJL,PC,311,311,1,"{""sharedFormula"":""I6""}",0.333,103.563,JPY(¥),,30.803778720000004,0.4803681052631578,THB DRIVE CHAIN,0.3665594855305466,114,114,114,"{""sharedFormula"":""U5""}",0.52,1,59.28,59.28,"{""sharedFormula"":""Z5""}",,TC
A15,0009,AL444,AL444-RP,LINK,54,54,1,"{""sharedFormula"":""I6""}",0.333,17.982,JPY(¥),,5.34856608,0.4857148,THB DRIVE CHAIN,0.37037037037037035,20,20,20,"{""sharedFormula"":""U5""}",0.52,1,10.4,10.4,"{""sharedFormula"":""Z5""}",,TC
A15,5010,AL466-JL,AL466-MLJL,PC,336,336,1,"{""sharedFormula"":""I6""}",0.333,111.888,JPY(¥),,33.279966720000004,0.4838714838709677,THB DRIVE CHAIN,0.36904761904761907,124,124,124,"{""sharedFormula"":""U5""}",0.52,1,64.48,64.48,"{""sharedFormula"":""Z5""}",,TC
A15,0010,AL466,AL466-RP,LINK,75,75,1,"{""sharedFormula"":""I6""}",0.333,24.975,JPY(¥),,7.4285640000000015,0.48979642857142847,THB DRIVE CHAIN,0.37333333333333335,28,28,28,"{""sharedFormula"":""U5""}",0.52,1,14.56,14.56,"{""sharedFormula"":""Z5""}",,TC
A15,5011,AL522-JL,AL522-MLJL,PC,311,311,1,"{""sharedFormula"":""I6""}",0.333,103.563,JPY(¥),,30.803778720000004,0.4304034999999999,THB DRIVE CHAIN,0.33440514469453375,104,104,104,"{""sharedFormula"":""U5""}",0.52,1,54.08,54.08,"{""sharedFormula"":""Z5""}",,TC
