,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
R21,0614,,MZ35G,PC,36080,36080,1,"{""sharedFormula"":""I5""}",1,36080,JPY(¥),,10731.6352,0.035740003953492465, SCG GROUP (CAM CLUTCH),1.3709534368070952,49464,49464,49464,"{""sharedFormula"":""U5""}",1,0.225,11129.4,11129.4,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R21,0508,,MZ45G,PC,45120,45120,1,"{""sharedFormula"":""I5""}",1,45120,JPY(¥),,13420.492800000002,0.03590491584233093, SCG GROUP (CAM CLUTCH),1.3711879432624114,61868.00000000001,61868.00000000001,61868,-1.1760453892453974e-16,1,0.225,13920.300000000001,13920.300000000001,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R21,0615,,MZ45G-40,PC,45120,45120,1,,1,45120,JPY(¥),,13420.492800000002,0.03590491584233093, SCG GROUP (CAM CLUTCH),1.3711879432624114,61868.00000000001,61868.00000000001,61868,-1.1760453892453974e-16,1,0.225,13920.300000000001,13920.300000000001,,,MC,,,Price valid until March 2025
R21,0509,,MZ60G,PC,54340,54340,1,"{""sharedFormula"":""I23""}",1,54340,JPY(¥),,16162.889600000002,0.03595210445166153, SCG GROUP (CAM CLUTCH),1.371255060728745,74514,74514,74514,"{""sharedFormula"":""U23""}",1,0.225,16765.65,16765.65,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R21,0616,,MZ60G-50,PC,54340,54340,1,"{""sharedFormula"":""I23""}",1,54340,JPY(¥),,16162.889600000002,0.03595210445166153, SCG GROUP (CAM CLUTCH),1.371255060728745,74514,74514,74514,"{""sharedFormula"":""U23""}",1,0.225,16765.65,16765.65,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R21,0617,,MZ60G-55,PC,54340,54340,1,"{""sharedFormula"":""I23""}",1,54340,JPY(¥),,16162.889600000002,0.03595210445166153, SCG GROUP (CAM CLUTCH),1.371255060728745,74514,74514,74514,"{""sharedFormula"":""U23""}",1,0.225,16765.65,16765.65,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R21,0510,,MZ70G,PC,85820,85820,1,"{""sharedFormula"":""I23""}",1,85820,JPY(¥),,25526.300800000005,0.035951208965102364, SCG GROUP (CAM CLUTCH),1.3712537869960382,117681,117681,117681,"{""sharedFormula"":""U23""}",1,0.225,26478.225000000002,26478.225000000002,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R21,0618,,MZ70G-65,PC,85820,85820,1,"{""sharedFormula"":""I23""}",1,85820,JPY(¥),,25526.300800000005,0.035951208965102364, SCG GROUP (CAM CLUTCH),1.3712537869960382,117681,117681,117681,"{""sharedFormula"":""U23""}",1,0.225,26478.225000000002,26478.225000000002,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0101,,PB3-LH,PC,20280,20280,1,"{""sharedFormula"":""I23""}",1,20280,JPY(¥),,6032.083200000001,0.009485750880563465, SCG GROUP (CAM CLUTCH),1.3346153846153845,27066,27066,27066,"{""sharedFormula"":""U23""}",1,0.225,6089.85,6089.85,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0102,,PB3-RH,PC,20280,20280,1,"{""sharedFormula"":""I23""}",1,20280,JPY(¥),,6032.083200000001,0.009485750880563465, SCG GROUP (CAM CLUTCH),1.3346153846153845,27066,27066,27066,"{""sharedFormula"":""U23""}",1,0.225,6089.85,6089.85,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0103,,PB5-LH,PC,25930,25930,1,"{""sharedFormula"":""I23""}",1,25930,JPY(¥),,7712.619200000001,0.009926995680331558, SCG GROUP (CAM CLUTCH),1.335210181257231,34622,34622,34622,"{""sharedFormula"":""U23""}",1,0.225,7789.95,7789.95,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0104,,PB5-RH,PC,25930,25930,1,"{""sharedFormula"":""I23""}",1,25930,JPY(¥),,7712.619200000001,0.009926995680331558, SCG GROUP (CAM CLUTCH),1.335210181257231,34622,34622,34622,"{""sharedFormula"":""U23""}",1,0.225,7789.95,7789.95,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0105,,PB6-LH,PC,32750,32750,1,"{""sharedFormula"":""I23""}",1,32750,JPY(¥),,9741.160000000002,0.009969255786772196, SCG GROUP (CAM CLUTCH),1.3352671755725192,43730,43730,43730,"{""sharedFormula"":""U23""}",1,0.225,9839.25,9839.25,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0106,,PB6-RH,PC,32750,32750,1,"{""sharedFormula"":""I23""}",1,32750,JPY(¥),,9741.160000000002,0.009969255786772196, SCG GROUP (CAM CLUTCH),1.3352671755725192,43730,43730,43730,"{""sharedFormula"":""U23""}",1,0.225,9839.25,9839.25,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0107,,PB8-LH,PC,37940,37940,1,"{""sharedFormula"":""I23""}",1,37940,JPY(¥),,11284.873600000003,0.010398291745042062, SCG GROUP (CAM CLUTCH),1.3358460727464418,50682.00000000001,50682.00000000001,50682,-1.4356098050951866e-16,1,0.225,11403.450000000003,11403.450000000003,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0108,,PB8-RH,PC,37940,37940,1,"{""sharedFormula"":""I23""}",1,37940,JPY(¥),,11284.873600000003,0.010398291745042062, SCG GROUP (CAM CLUTCH),1.3358460727464418,50682.00000000001,50682.00000000001,50682,-1.4356098050951866e-16,1,0.225,11403.450000000003,11403.450000000003,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0109,,PB10-LH,PC,38890,38890,1,"{""sharedFormula"":""I23""}",1,38890,JPY(¥),,11567.441600000002,0.009863614283543723, SCG GROUP (CAM CLUTCH),1.3351247107225508,51923,51923,51923,"{""sharedFormula"":""U23""}",1,0.225,11682.675000000001,11682.675000000001,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0110,,PB10-RH,PC,38890,38890,1,"{""sharedFormula"":""I23""}",1,38890,JPY(¥),,11567.441600000002,0.009863614283543723, SCG GROUP (CAM CLUTCH),1.3351247107225508,51923,51923,51923,"{""sharedFormula"":""U23""}",1,0.225,11682.675000000001,11682.675000000001,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0111,,PB12-LH,PC,50030,50030,1,"{""sharedFormula"":""I23""}",1,50030,JPY(¥),,14880.923200000003,0.01017051881340895, SCG GROUP (CAM CLUTCH),1.3355386767939237,66817,66817,66817,"{""sharedFormula"":""U23""}",1,0.225,15033.825,15033.825,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R12,0112,,PB12-RH,PC,50030,50030,1,"{""sharedFormula"":""I23""}",1,50030,JPY(¥),,14880.923200000003,0.01017051881340895, SCG GROUP (CAM CLUTCH),1.3355386767939237,66817,66817,66817,"{""sharedFormula"":""U23""}",1,0.225,15033.825,15033.825,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,0953,,BS30-30E,PC,22000,22000,1,"{""sharedFormula"":""I23""}",1,22000,JPY(¥),,6543.680000000001,0.06776221360315965, SCG GROUP (CAM CLUTCH),1.4180454545454546,31197,31197,31197,"{""sharedFormula"":""U23""}",1,0.225,7019.325,7019.325,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,0964,,BS50-45E,PC,30610,30610,1,"{""sharedFormula"":""I23""}",1,30610,JPY(¥),,9104.638400000002,0.06777571461848182, SCG GROUP (CAM CLUTCH),1.4180659915060438,43407,43407,43407,"{""sharedFormula"":""U23""}",1,0.225,9766.575,9766.575,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,0965,,BS50-50E,PC,30610,30610,1,"{""sharedFormula"":""I23""}",1,30610,JPY(¥),,9104.638400000002,0.06777571461848182, SCG GROUP (CAM CLUTCH),1.4180659915060438,43407,43407,43407,"{""sharedFormula"":""U23""}",1,0.225,9766.575,9766.575,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1001,,BS65-40E,PC,44820,44820,1,"{""sharedFormula"":""I23""}",1,44820,JPY(¥),,13331.260800000004,0.06782385425024756, SCG GROUP (CAM CLUTCH),1.4181392235609103,63561,63561,63561,"{""sharedFormula"":""U23""}",1,0.225,14301.225,14301.225,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1002,,BS65-45E,PC,44820,44820,1,"{""sharedFormula"":""I23""}",1,44820,JPY(¥),,13331.260800000004,0.06782385425024756, SCG GROUP (CAM CLUTCH),1.4181392235609103,63561,63561,63561,"{""sharedFormula"":""U23""}",1,0.225,14301.225,14301.225,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1003,,BS65-50E,PC,44820,44820,1,"{""sharedFormula"":""I23""}",1,44820,JPY(¥),,13331.260800000004,0.06782385425024756, SCG GROUP (CAM CLUTCH),1.4181392235609103,63561,63561,63561,"{""sharedFormula"":""U23""}",1,0.225,14301.225,14301.225,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1004,,BS65-55E,PC,44820,44820,1,"{""sharedFormula"":""I23""}",1,44820,JPY(¥),,13331.260800000004,0.06782385425024756, SCG GROUP (CAM CLUTCH),1.4181392235609103,63561,63561,63561,"{""sharedFormula"":""U23""}",1,0.225,14301.225,14301.225,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1005,,BS65-60E,PC,44820,44820,1,"{""sharedFormula"":""I23""}",1,44820,JPY(¥),,13331.260800000004,0.06782385425024756, SCG GROUP (CAM CLUTCH),1.4181392235609103,63561,63561,63561,"{""sharedFormula"":""U23""}",1,0.225,14301.225,14301.225,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1006,,BS65-65E,PC,44820,44820,1,"{""sharedFormula"":""I23""}",1,44820,JPY(¥),,13331.260800000004,0.06782385425024756, SCG GROUP (CAM CLUTCH),1.4181392235609103,63561,63561,63561,"{""sharedFormula"":""U23""}",1,0.225,14301.225,14301.225,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1011,,BS75-60E,PC,56570,56570,1,"{""sharedFormula"":""I23""}",1,56570,JPY(¥),,16826.180800000002,0.06879730814143312, SCG GROUP (CAM CLUTCH),1.4196217076188793,80308,80308,80308,"{""sharedFormula"":""U23""}",1,0.225,18069.3,18069.3,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1012,,BS75-65E,PC,56570,56570,1,"{""sharedFormula"":""I23""}",1,56570,JPY(¥),,16826.180800000002,0.06879730814143312, SCG GROUP (CAM CLUTCH),1.4196217076188793,80308,80308,80308,"{""sharedFormula"":""U23""}",1,0.225,18069.3,18069.3,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1013,,BS75-70E,PC,56570,56570,1,"{""sharedFormula"":""I23""}",1,56570,JPY(¥),,16826.180800000002,0.06879730814143312, SCG GROUP (CAM CLUTCH),1.4196217076188793,80308,80308,80308,"{""sharedFormula"":""U23""}",1,0.225,18069.3,18069.3,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1014,,BS75-75E,PC,56570,56570,1,"{""sharedFormula"":""I23""}",1,56570,JPY(¥),,16826.180800000002,0.06879730814143312, SCG GROUP (CAM CLUTCH),1.4196217076188793,80308,80308,80308,"{""sharedFormula"":""U23""}",1,0.225,18069.3,18069.3,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1021,,BS85-70E,PC,83900,83900,1,"{""sharedFormula"":""I23""}",1,83900,JPY(¥),,24955.216000000004,0.06783262221400425, SCG GROUP (CAM CLUTCH),1.4181525625744935,118983,118983,118983,"{""sharedFormula"":""U23""}",1,0.225,26771.175,26771.175,"{""sharedFormula"":""Z23""}",,MC,,,Price valid until March 2025
R31,1022,,BS85-75E,PC,83900,83900,1,,1,83900,JPY(¥),,24955.216000000004,0.06783262221400425, SCG GROUP (CAM CLUTCH),1.4181525625744935,118983,118983,118983,,1,0.225,26771.175,26771.175,,,MC,,,Price valid until March 2025
R31,1023,,BS85-80E,PC,83900,83900,1,"{""sharedFormula"":""I55""}",1,83900,JPY(¥),,24955.216000000004,0.06783262221400425, SCG GROUP (CAM CLUTCH),1.4181525625744935,118983,118983,118983,"{""sharedFormula"":""U55""}",1,0.225,26771.175,26771.175,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1024,,BS85-85E,PC,83900,83900,1,"{""sharedFormula"":""I55""}",1,83900,JPY(¥),,24955.216000000004,0.06783262221400425, SCG GROUP (CAM CLUTCH),1.4181525625744935,118983,118983,118983,"{""sharedFormula"":""U55""}",1,0.225,26771.175,26771.175,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
