,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A11,5056,RS160-2-JL,RS160-2-MWJL,PC,1548.29,1548.29,1,"{""sharedFormula"":""I10""}",1,1548.29,JPY,,460.52337760000006,-0.15833082462428508,SCG GROUP (CHAIN) ,1.1412590664539588,1766.9999999999998,1766.9999999999998,1767,1.2867780160907305e-16,1,0.225,397.57499999999993,397.57499999999993,"{""sharedFormula"":""Z10""}",,TC
A11,5062,RS180-2-JL,RS180-2-MWJL,PC,2642.98,2642.98,1,"{""sharedFormula"":""I10""}",1,2642.98,JPY,,786.1279712000002,0.030010523536306847,SCG GROUP (CHAIN) ,1.3628555645521343,3602,3602,3602,"{""sharedFormula"":""U10""}",1,0.225,810.45,810.45,"{""sharedFormula"":""Z10""}",,TC
A11,5068,RS200-2-JL,RS200-2-MWJL,PC,3689.28,3689.28,1,"{""sharedFormula"":""I10""}",1,3689.28,JPY,,1097.3394432000002,-0.2207920380475597,SCG GROUP (CHAIN) ,1.0828671177031832,3995,3995,3995,"{""sharedFormula"":""U10""}",1,0.225,898.875,898.875,"{""sharedFormula"":""Z10""}",,TC
A11,5074,RS240-2-JL,RS240-2-MSJL,PC,7257.6,7257.6,1,"{""sharedFormula"":""I10""}",1,7257.6,JPY,,2158.7005440000007,-0.21769572788424976,SCG GROUP (CHAIN) ,1.085620590828924,7878.999999999999,7878.999999999999,7879,1.1543275818922812e-16,1,0.225,1772.7749999999999,1772.7749999999999,"{""sharedFormula"":""Z10""}",,TC
A11,6002,,RS35-2-OL,PC,221.79,221.79,1,"{""sharedFormula"":""I10""}",1,221.79,JPY,,65.96921760000001,-0.0940168756218906,SCG GROUP (CHAIN) ,1.2083502412191713,268,268,268,"{""sharedFormula"":""U10""}",1,0.225,60.300000000000004,60.300000000000004,"{""sharedFormula"":""Z10""}",,TC
A11,6008,,RS40-2-OL,PC,237.07,237.07,1,"{""sharedFormula"":""I10""}",1,237.07,JPY,,70.5141008,0.017567386973180235,SCG GROUP (CHAIN) ,1.345594128316531,319,319,319,"{""sharedFormula"":""U10""}",1,0.225,71.775,71.775,"{""sharedFormula"":""Z10""}",,TC
A11,6014,,RS50-2-OL,PC,326.53,326.53,1,,1,326.53,JPY,,97.1230832,-0.09004582716049368,SCG GROUP (CHAIN) ,1.2127522739105137,396,396,396,,1,0.225,89.10000000000001,89.10000000000001,,,TC
A11,6020,,RS60-2-OL,PC,436.12,436.12,1,"{""sharedFormula"":""I27""}",1,436.12,JPY,,129.71953280000002,-0.08574624649508278,SCG GROUP (CHAIN) ,1.2175548014307989,531,531,531,"{""sharedFormula"":""U27""}",1,0.225,119.47500000000001,119.47500000000001,"{""sharedFormula"":""Z27""}",,TC
A11,6026,,RS80-2-OL,PC,544.32,544.32,1,"{""sharedFormula"":""I27""}",1,544.32,JPY,,161.90254080000005,-0.15872278260869607,SCG GROUP (CHAIN) ,1.1408730158730158,621,621,621,"{""sharedFormula"":""U27""}",1,0.225,139.725,139.725,"{""sharedFormula"":""Z27""}",,TC
A11,6032,,RS100-2-OL,PC,937.44,937.44,1,"{""sharedFormula"":""I27""}",1,937.44,JPY,,278.8321536000001,0.06259151588502238,SCG GROUP (CHAIN) ,1.4102235876429423,1322,1322,1322,"{""sharedFormula"":""U27""}",1,0.225,297.45,297.45,"{""sharedFormula"":""Z27""}",,TC
A11,6038,,RS120-2-OL,PC,1533.17,1533.17,1,"{""sharedFormula"":""I27""}",1,1533.17,JPY,,456.0260848000001,-0.09378445715656313,SCG GROUP (CHAIN) ,1.208607003789534,1853,1853,1853,"{""sharedFormula"":""U27""}",1,0.225,416.925,416.925,"{""sharedFormula"":""Z27""}",,TC
A11,6044,,RS140-2-OL,PC,2210.54,2210.54,1,"{""sharedFormula"":""I27""}",1,2210.54,JPY,,657.5030176000001,-0.013257848050547322,SCG GROUP (CHAIN) ,1.3046585902087273,2884,2884,2884,"{""sharedFormula"":""U27""}",1,0.225,648.9,648.9,"{""sharedFormula"":""Z27""}",,TC
A11,6050,,RS160-2-OL,PC,3507.84,3507.84,1,"{""sharedFormula"":""I27""}",1,3507.84,JPY,,1043.3719296000002,-0.17606101344154207,SCG GROUP (CHAIN) ,1.124053548622514,3943,3943,3943,"{""sharedFormula"":""U27""}",1,0.225,887.1750000000001,887.1750000000001,"{""sharedFormula"":""Z27""}",,TC
A11,6056,,RS180-2-OL,PC,6804,6804,1,"{""sharedFormula"":""I27""}",1,6804,JPY,,2023.7817600000003,0.034812147226097115,SCG GROUP (CHAIN) ,1.3696355085243974,9319,9319,9319,"{""sharedFormula"":""U27""}",1,0.225,2096.775,2096.775,"{""sharedFormula"":""Z27""}",,TC
